title,top1,top10
"You won 1 million in the lottery! Before you get the jackpot, where do you put your winning ticket?",The worst hiding place,The best hiding place
You are a salesperson in vacuum cleaners: what is your sale argument?,Worst argument,Best argument
"You can jump in the past to see yourself at 11 years old. What do you say to your younger self?",Useless,Very useful
"Here is the invention of the century: ""an underwear that...""",Useless idea,Brilliant idea
Cite a reason to get married.,Bad reason,Very good reason
You finally decided to approach the cashier that you like and see every day. What is your approach?,Super awkward,Very romantic
"You create the new Chanel N.13. Complete the slogan: ""The scent that smells...""",Worst smell,Best smell
Cite a lie put by CAP'Ten on his profile of a dating site.,Little lie,Big lie
You take music lessons. But which instrument to choose to flirt?,Ineffective,Very effective
"""They got married and...""",Worst end,Best end
"Read in the magazine: ""Be beautiful and shut up: the new fashionable diet, eat only""...",Worst advice,Best advice
The hare retires and is looking for its replacement to race against the turtle. Cite an animal.,Slow,Fast
Read a suspicious SMS that your spouse has received.,Usual,Cheating
Welcome to the amusement park! What attraction do you choose?,Least impressive,Most impressive
Cap'ten never knows what to do on Sunday morning. Advise an activity.,Annoying,Very pleasant
"You trained your dog, now he can...",Not surprising,Very surprising
You are now captain of your own boat. What is the type and name of this boat?,Not very rewarding,Super rewarding
"You are the school director and announce to the parents: ""Mr. and Mrs. Doe, I called you about your son because...""",Small misbehavior,Terrible offence
"In Fast & Furious 12, there is a car chase in...",Small budget,Impressive blockbuster
A fortune teller tells you how you are going to die.,Worst death,Best death
Cite a claim made by hostage takers.,Insignificant,Completely gigantic
Find an excuse not to go out because you are planning to stay home and watch the High School Musical trilogy.,Ineffective,Very effective
What to put in bed to replace a heating pad/hot water bottle?,Ineffective,Super effective
"""To win the Nobel Prize for Ecology, I...""",Definitely didn't win,You won
What do you take for a crossing of the Sahara?,Useless,Useful
"If you register the CAP'Ten on the program ""UK's got talent"", what do you advise him to do on stage?",Voted out,Standing ovation
What does your horoscope tell you this morning?,Horrible day,Best day ever
You find yourself in a wrestling ring. What personality (living or dead) is your opponent?,I win easy,I don't get out of it alive
A zombie epidemic broke out in town today. In which city are you fleeing to?,Closer to here,More distant from here
"What is the 3rd ingredient for the holidays: sun, change of scenery and...",Failed holidays,Ideal holidays
What object to take on a trip to the Maldives?,Optional object,Essential object
You are an almighty divinity and you want to finally show that you exist to humans. What are you doing?,Not effective,Very effective
You offer a t-shirt with a message to the Cap'Ten. What is this message?,He will never wear it in his life,He will wear it every day
In which animal to reincarnate for next life?,Hated by all,Loved by all
You are nicely dressed! But is it a good choice to climb Mt. Everest?,Not suitable,Perfectly suited
"Invited over at friends, what do you bring?",Usual,Very original
"You are all in the same football team. After the game in the locker room, you tell your best play of the game.",Zero action,Incredible feat
"Oops, no more toilet paper! What to wipe with?",Ineffective,Very effective
What did you just post on Instagram?,Trivial event,Unforgettable
"After phoning home, E.T. does a second phone call: ""E.T. Phone...""",He will never leave earth,He will quickly leave earth
Cite a job that pays...,Little money,A lot of money
You apply for an accounting expert position. Which hobby is indicated on your CV?,It will make the employer reject you,It will convince the employer
You are a witch who has created a metamorphosis potion. The Cap'Ten drinks it and transforms into an object...,Worst for him,Nicest for him
Baby said his first word! What did he say?,Less likely,More likely
The Manneken Pis pees in the snow and makes a nice drawing. What does he draw?,Slight urge to pee,Strong urge to pee
Describe the pitch of a new Netflix series.,Nobody will watch it,Assured success
This is your first day of work in a zoo: you are on poop cleaning duty. What cage are you assigned to?,Worst animal,Best animal
Invent a post on Twitter.,No reaction,Internet famous
Invent the title of a video posted on Youtube.,No reaction,Internet famous
"After the magic potion, Panoramix made a 2nd potion which...",Useless for Gauls,Very useful for Gauls
You are the DJ tonight! Which song to party?,No fiesta,Crazy fiesta
The Cap'Ten would go to fight on the release day. What object is that?,Least likely,Most likely
Your mom reads you the same book every night to put you to sleep. Which one is it?,Worst,Best
"""I hate people who...""","Nah, you're exaggerating","Clearly, they should be hanged!"
"After ""You shall not murder."", add an 11th commandment.",Useless for humanity,Useful for humanity
"""Violence, sex and..."": Complete the 3rd ingredient for a TV standard scenario.",Least successful,Most successful
The tour guide tells you what happened in this room of the castle.,Unusual,Very interesting
You are in the shoes of an international star for a day. What are you doing?,Very generous,Super selfish
We want to stroke it. What is it about?,Not really,Very much
Cite a sound from the outside that can be heard through the window of a house.,Least pleasant,Most pleasant
The Cap'Ten makes it to the news headlines. What is the title?,Not flattering,Very flattering
"Monday morning, rude awakening: which song do you choose to wake you up?",You fall back to sleep,You're full of energy
Tell a secret that someone may have.,Top secret,Everybody knew
It's hot-dog eating competition! Which character (real or fictitious) participates?,Loser,Winner
"Imagine the theme of your wedding (clothing, decoration, menu...).",Worst theme,Best theme
"Surprise! The Cap'Ten's mom changed her wallpaper, curtains and bed sheets with the same patterns. Which?",Worst idea,Best idea
A driver cuts you off: insult him.,Least violent way,Most virulent way
Which destination to choose to go on vacation?,The one that everyone dreams about,The one that no one dreams about
At the restaurant: What's the dessert on the menu?,More frequent,More original
The Cap'Ten is invited by a Tinder date in his/her apartment. What's the poster above the bed?,He flees,He found his soul mate
Which country to choose to take someone to live a gourmet weekend?,Worst destination,Best destination
"You are in the afterlife. God announces to you: ""You are clearly going to hell, because all your life you have...""","It's unfair, it was not so serious","Okay, it's well deserved"
Cite a cartoon character.,Silliest,Most intelligent
"Marketing manager at Robo3000, you must invent the slogan of the new vacuum cleaner robot which bears the name of the next player.",Best seller,Total flop
We can live without it.,"Yes, easily","No, impossible"
"In speed dating, you announce: ""I am ... world champion""",Awkward,Cool
This is the Voice! You are in the red chair that turns. Listen to the candidate sing then react.,He's horrible at singing,"I love his universe, he's a genius"
What is in your suitcase for winter sports?,Useless,Useful
"Threaten your child: ""If you don't finish your spinach...""",Not too bad,Very bad
Which person (real or fictitious) do you recruit in your team for an escape game?,Worst recruit,Best recruit
Find a career change for the Pope.,Less likely,More likely
You present a TV shopping show: Show and praise the advantages of Macho3000 kitchen robot.,Robot that no one buys,Robot that everyone is fighting for
"Before posting the photo of you at the beach on Instagram, you make a little Photoshop retouching to show off... What do you change?",Not effective,Very effective
You have a time machine. What event do you go to?,No way,A dream come true
"What book ""... for dummies"" would be useful for the Cap'Ten?",He doesn't need it,He needs it
"After a shipwreck, you end up with a single object on a deserted island... Which one?",Useless,Useful
You wake up next to an unexpected person (real person). Who is it?,Very bad surprise,Very good surprise
You are invisible for a day. What are you doing?,Reasonable,Completely crazy
You participate in the best pastry chef competition and make a huge cake in the shape of...,You lose,You win
You present the news. Announce the headline.,No one cares,News of the century
April Fools! You slide something in a friend's t-shirt.,Nice,Very mean
You send a birthday cake to a friend in prison. What object do you hide in it to help him escape?,Useless,Useful
"By looking for something in your parents' room, you find a box and open it...",Not embarrassing,Very embarrassing
Cite a word from the dictionary.,One that the Cap'Ten never uses,One he often uses
"At the village festival, like every year, there was the election of Miss...",Not classy,Very classy
You are nicely dressed! What is your outfit to go to the beach?,Not very suitable,Perfectly suited
Your friends read a message you just received from your mother. What does it say?,Not embarrassing for you,Very embarrassing for you
You organize TV castings. Cite a criterion to make it to reality TV.,Not required,Required
Cite a weekend activity.,Activity you never do,Activity you very often do
"On Tinder, a person seems interested in you... But he is someone you know! Who?",Worst surprise,Best surprise
You travel in a hot-air balloon that is struggling to go up... What do you throw out?,Very light,Very heavy
Imagine an opinion read on Tripadvisor about a restaurant.,It doesn't make you want to go at all,It really makes you want to go
Target one of the players and proclaim 2 rhyme sentences.,Frankly not romantic,Hyper romantic
What app for life? Cite a single smartphone application.,Useless,Essential
You are a speaker in a conference and you announce the subject of your presentation.,The one who will not interest anyone,The one that fills the room
"To convince the Vikings to go to Valhalla (the Viking Paradise), we promise them...",Not encouraging,Very encouraging
You would like to dive into a swimming pool filled with...,Worst,Best
One of the players is a vampire... Unveil his identity and declare how you unmasked him.,Small clue,Irrefutable proof
Say a sentence that can be heard in a reality TV show.,Least likely,Most likely
"Soon, the big musical on Broadway will be: ""..., the musical. Imagine a name.",Least attractive,Most attractive
You are part of an American football team. What nickname is given to you in the locker room?,Least advantageous,The one that appeals to the fans
"The Cap'Ten targets a man in the room. Poof, he's naked! What object does he use to hide his engine?",Small thing to hide,Big thing to hide
Something that can be said to our mother-in-law.,Not nice at all,Very kind
Cite a TV show.,Stupidest,Most intellectual
"It's the big family meal. You get up, tap with your little spoon on your glass and start: ""I have something to tell you...""",Not surprising,Very surprising
Cite a diploma (existing or invented) hanging above your fireplace.,Least prestigious,Most prestigious
Read a dish from the menu of a restaurant.,Low-end restaurant,5-star restaurant
What do the students do when the teacher writes on the board?,Quiet class,Very agitated class
"In the rest of the film in with the wolves, the hero dances with...",The least selling idea,Successful film
What object should we have during the sinking of the Titanic?,Useless,Useful
You hypnotize someone to do something... What?,Nice,He's going to blame you
"By snapping your fingers, there, you can rain something. What do you choose?",Worse,Nicer
Cite an animal.,Less dangerous for humans,More dangerous for humans
Give your best advice to your best friend.,You hate this game,You love this game
It goes on TV.,Smaller audience,Largest audience
"In this Tibetan temple, to become a Grand Master Zen, there is a last test. Which?",Easy,Very difficult
Ask for another marriage player.,Declaration that will not work,The one who will convince your dulciné (e)
You get married in Las Vegas! What is special at your wedding?,Unusual,Very eccentric
We gave you an appointment for the time of the century in a secret place. You arrive on site... What is this place?,I'm running out,It's the dream spot
A tyrannosaurus pursues you. You are faced with several means of transport: which one do you choose?,I will be his 4h...,I come out easy
"""Ci-GIS..."": Complete the sentence written on the tomb of the Cap'Ten.",Flattering,More flattering
Flute! No more cucumber to make your beauty mask... What to replace it?,Worse idea,Best idea
Invent a big title for the front page of here on the president.,Uninteresting,Tight
You are a wedding witness. What surprise have you prepared for the newlyweds for the evening?,Catastrophic surprise,Super surprise
"The legend says that walking foot in a LEGO is the most painful. But in reality, it's walking on...",Not painful,Very painful
"When you measure 1m50, there are more pleasant situations than others. Describe one.",Very uncomfortable,It's awesome
What is the name of the Ikea furniture that tempts you?,Easy to pronounce,Impossible to pronounce
"In the newspaper, what advertisement did you fall on?",The one that makes the least want to answer,The one that makes you want to answer the most
You are quietly in a sports accessories store when an evil clown attacks you! What do you catch to get it on it?,Ineffective,Very effective
It's the day of kindness: make a compliment to another player.,Kindness,Very complying
This weekend is a TV series marathon: which one do you choose?,Worse series,Best series
What documentary is going to TV tonight?,Subject that does not interest you at all,The one you would not put for anything in the world
"This morning, at work, you have your head in your ass. By coffee machine, you tell your night.",The rotten night,Dream night
Invent a Batgadget name (like Batmobile) to help Batman.,Useless,Essential
"Complete the tourist brochure: ""Paris, city of...""",Flattering,Very attractive
The ringtone of your alarm clock is ineffective to get you out of bed. What original method do you use in the morning?,Alarm clock,Alarm clock
You are in the middle of a cleaning scene with the next player. What do you throw through the anger window?,He counterfeits,It breaks her heart forever
React to your child's note bulletin.,Big dunce,1st class
"Complete the sentence displayed at the back of your vehicle to slow down cars. ""Be careful,... driving!""",Which does not slow down,Which makes slow
"A Terminator strikes your door and announces: ""I come from the future. My mission is...""",More ridiculous,Most important
"On the right corner, Cap'ten will buy...",Useless for him,Useful for him
Having a domestic dragon would be cool! For what?,The least admissible argument,Most admissible argument
Which actor or what actress put at the top of the poster?,It will not attract anyone,It will move the crowds
"You are super happy with your collection, so proudly admit it to everyone: ""I have the largest collection in the world of...""",They will make fun of,They will find it great
TIC-TAC The Crocodile ate another part of the Captain Crochet. Which?,The one he will miss the least,The one he will miss most
Write a postcard to a friend.,Rotten holidays,Awesome Holidays
The IT manager asks you for your password in front of everyone. What is it?,Less embarrassing,More embarrassing
Pronounce the vow you would make the genius of Aladdin.,Rotten wish,Great wish
Find a nickname in Cape'ten (and you can call it like that until the end of the game!),Small annoying nickname,Nickname that he will want to keep
"You use a metal detector on the beach. It bips! It's not a room, but what is it?",Zero discovery,Great discovery
We are already on February 14! What gift do you give to Valentine's Day?,Worse,Best
Cite a character (real or fictitious) to whom you would leave your children in babysitting.,Worse character,Best character
Yesterday you missed your license. What happened?,Missed,You are a public danger
"The baby-sitter calls you on the phone in an emergency: ""It's awful...""",Not annoying concern,Disaster
Football now has an additional rule. Which?,The audience collapses,The hearing explodes
Write an imaginary SMS sent by your spouse.,The one we would never want to receive,The one who makes the most
You create a startup for a new revolutionary smartphone app! What does this app do?,Useless,Useful
"In the evening, present in one sentence the previous player to someone he likes.",Assured rake,"Thanks to you, he's going to pecho"
"This week, which star is on the cover of People magazine?",Seller,Seller
We offer you a place for a unique concert. Which?,Bad surprise,Very good surprise
Your colleague sends you a photo of his vacation. What does it represent?,I still prefer to stay at work,Jealous...
Cite an object.,The one that nobody has,The one everyone has
"You go home after a well -watered evening and try to be discreet, but you have something with you that makes noise... what?","It's okay, the sound is discreet","Noisy, you are going to grill"
"""Mom, here is Kevin, he is..."": Complete with his dwater.",Worse profession,Professor dreamed of in-laws
You have waited so much by queuing the post office that you would have had time to...,Short activity,Very long activity
"CAP'TEN learns, after a DNA test, that it is from the family of...",Worse news,Best news
"You are Santa's elves. This year, you will distribute the same gift to all humans. Offer Santa Santa Claus an idea.",Worse gift,Most great gift
You have reserved an airbnb and arrive on site with your backpack. Describe the room you are going to sleep.,Bad surprise,Very good surprise
Cite an invention in the history of humanity.,Less revolutionary,More revolutionary
TIC TOC... Cite a small mania.,Easy to admit,Very difficult to admit
"You are at the end of the Christmas meal, everyone boasts of a good deed they have done. Tell your action.",Smaller,Grandmother
Imagine a nickname of school courtyard that the Cap'Ten had.,Not popular,Mega Star
You are advisor/era of orientation and Edward in the hands of money would like to find a job. What do you recommend?,Worse idea,Best idea
Men always want more... what is it?,Less desired,More desired
"It seems that, secretly, the pope cannot help but...",Less likely,More likely
"In the afterlife, the Cap'Ten will be in a world surrounded by...",It's hell,It is paradise
You are mayor of Paris. What do you have to build to mark your mandate?,Less prestigious,More prestigious
"You should not push Granny into the nettles, but you can push it in...",Very mean,Very kind
"Mister Bond, if you don't give me the secret code, I'm going to...",Small threat,Great threat
You are invited for dinner in a cursed temple in the middle of the jungle... Your table neighbors were entitled to a monkey brain in sorbet. And you?,Yuck,Yum
You are a great villain of the next blockbuster! What are your vom and power?,Not very harmful,Mega naughty who is very scary
"In one of the closer: ""A celebrity found completely drunk in a gutter, see page 12"" which will you find page 12?",Less likely,More likely
You are in speed dating: say a sentence to enhance you.,Worse sentence,Best sentence
Where to hide in case of zombie invasion?,Assured survival,Death insured
"The Cap'Ten finds itself lost in the middle of the jungle, far from all civilization. It is obvious that he must live the rest of his life like Tarzan. What does he miss the most?",A little,Enormously
"You have ordered 1 on the internet and the delivery man announces that, following an error, he will deliver 1000 to you. What?",Very bad news,Very good news
You are in police custody for digging a tunnel enters your home and the Banque de France. You are entitled to a single call. Who do you call?,Less logical,More logical
You can live the life of a series character. Which?,Nightmare,Ideal
"You have taken place in an airliner that will soon take off. ""Hello, I'm Kevin, your pilot,...""",Less reassuring,More reassuring
Cite a personality (living or dead) to participate in Koh Lanta.,Assured defeat,Assured victory
You are a light. Read the future to a customer in your crystal ball.,Bad luck,Good adventure
"You show off: ""Here is my honorary skill card of the club of...""",Not very glorious,Too class
Who has the longest? Cite an animal depending on the length of its tail.,Smaller,Bigger
What disguise do you recommend for CAP'Ten?,Less suitable,Best
You wake up with a big skull and find out that you have a tattoo on your arm. Which?,Help,Awesome
"The truth comes out of your child's mouth, especially at the supermarket checkout. What sentence does he say aloud?",Not embarrassing,Very embarrassing
"Magnifaic, my darling! Cite a garment or accessory.",Cheesy,Style
You are investigating a crime scene. Announce the index you have found.,Useless,Very useful to stop for the culprit
You enter an abandoned night house... you come face to face with someone scary. Who is it?,Scary,Very scary
Your phone rings. What is this call?,Trivial,Huge surprise
"What if Daenerys was not the ""mother of the dragons"", but the ""mother of...""?",Too much shame,Too class
What toy can we find with the child menu of a fast food?,Worse than we can imagine,Children preferred
Your best friend presents her newborn baby. What's your reaction?,Very ugly baby,Very beautiful baby
"You are proud/era and show your garden to your friends: ""Look in the middle, there is...""",Null,Gorgeous
Your neighbor of the above apartment makes noise... What is he doing?,Less annoying,Annoying
"""Offered for the purchase of your car: a 2 year warranty, metallic paint and...""",Less advantageous,More advantageous
You work at La Poste and you are transferred to a city in France. Which?,Bad news,Very good news
Which birthday present do you offer at the Cap'Ten?,He will be disappointed,He jumps out of joy
"If you were president, which ministry would you create?",It would not interest you,It would interest everyone
Summarize the pitch of a film you are going to make.,Boring turnover,Big blockbuster
"At ""Le Crêpier joker"" in Brittany, what do you garnish with your pancake?",Worse flavor,Best flavor
Choped on radar! What reason do you give to the gendarme to avoid PV for speeding?,Bogus excuse,Good reason
Cite a personality according to his number of Instagram subscribers.,Less fan,More fans
Long live the bride and groom! What gift do you give to the happy couple?,Less impressive,More impressive
What photo would you put on your dart target?,No never,Yes of course
"To interpret the role of the God of Beauty and Bogossitude, which actor (real man, living or dead) do you recruit?",Worse choice,Best choice
Tell a situation that scares the Cap'Ten.,Scare,Toughe
You have the power to make a fictitious character real! Which?,Worse idea,Best idea
What sentence pronounces the real estate agent when visiting a new apartment?,It scares off,That makes you buy
"There is the day of kindness, that of the bicycle, that of the photo and, tomorrow, it is the day of...",Nobody cares,"It's great, let's celebrate that!"
Your uncle Indiana Johnny has not returned from his latest journey. What object reported from a previous exploration bequeathed to you in its will?,Trivial,Very rare
We are flirting with you. Answer in a sentence.,Not at all interested,Very very interested
"In ""Nightmare in the kitchen"", Philippe Etchebest is catastrophe: he has never seen this in a kitchen! What?",Little thing,Filthy
You offer a place in the Cap'Ten for the world's large world of...,Rather die,It wouldn't miss that for nothing in the world
"Do you learn that Brad Pitt has a defect, which one?",Bass,Very unacceptable
"Complete the New Year's greeting card: ""I wish you love, money, health and above all...""",Less nice,Nicer
A woman is giving birth alone in the middle of nowhere. There is only you. What are you going to search to help him?,Useless,Very useful
You are on the Paris-Tahiti plane and a single film is looping throughout the flight. Which?,Worse movie,Best film
Tell what you caught fishing.,Not very impressive,Very impressive
Day at the zoo with children: Cite an animal.,Children ignore it,They rush to him
You have seen a live crime: tell your testimony to find the culprit.,Useless,Very useful
"And the eighth day, God created...",Worse,Best
The armor princess will deliver the poor prince locked up at the top of the dungeon! What stands on the way between her and her lover?,Small surmountable obstacle,Very big problem
Which pet do you offer at the Cap'Ten?,He will leave it on the edge of the highway,He dreamed of it
What activity can we do on weekends?,Quiet activity,Activity that we do not come out alive
Imagine and tell a mishap that can happen to you on a trip.,Hassle,Gallor
Cite a character (real or fictitious) depending on the time he spends in the bathroom.,Not much time,Enormously
Who Wants to Be a Millionaire? Imagine the last question you are asked.,"Easy, I'm a millionaire","Difficult, I lost..."
Play your reaction to a PSG goal.,Supporter of OM,Super fan of PSG
There is a tail in front of the toilet and you are very in a hurry. What argument do you give to pass by everyone?,Unconvincing,Very convincing
"Tomorrow, you wake up in the shoes of a film character. Which?",Very mean,Very kind
"Find a reason to disembark at a wedding, shouting ""Cancel this marriage!""",Unjustified,Completely justified
You go hiking for several days. What do you hide in your companion's bag not to wear it?,Very light,Very heavy
Describe what CAP'Ten could publish on Instagram.,Unlikely,Very probable
A person held the door to you. What politeness formula do you tell him?,Not elaborate,Very elaborate
The aliens arrive and you are responsible for the 1st contact: you can offer any object of the land as a welcome. Which?,Rotten gift,Gift worthy of a great ambassador
What do you think of during your little morning jogging?,It makes you slow down,It motivates to go faster
"You will create a new amusement park: ""... Land"". What will be the theme?",Less attractive,More attractive
Describe your second home where you spend weekends.,Worse place,Best place
"Which person (living, dead or fictitious) can we meet in a weight room?",Unlikely,Very probable
Sacred morning! What happened to you?,Unlucky morning,Very lucky morning
A radioactive explosion gives you super powers: you are a superhero! What are your name and power?,Pitiful superhero,Superhero who throws a max!
You have killed your car! What did you add to him?,Very bad,Very classy
Cite a person (real or fictitious) according to their likely number of romantic conquests.,Less conquests,More conquests
"You are new in the village of Asterix and Obelix. What is your name of Gauls, who ends up in ""-ix""?",Shame,Awesome
